Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ep_neg_r[28]   -0.06    0.01   0.61  -1.35  -0.44-8.8e-3   0.36   1.06   3097    1.0
ep_neg_r[29]   -0.03    0.01   0.64  -1.35  -0.44  -0.01   0.38   1.17   3884    1.0
ep_neg_r[30]   -0.79  8.2e-3   0.64  -2.19  -1.17  -0.74  -0.35   0.34   6000    1.0
ep_neg_r[31]    0.89  8.6e-3   0.42   0.09   0.64   0.88   1.14   1.78   2407    1.0
ep_neg_r[32]    0.48  9.4e-3   0.58  -0.73   0.12   0.49   0.85   1.62   3857    1.0
ep_neg_r[33]   -0.08  7.6e-3   0.49  -1.12  -0.38  -0.04   0.26    0.8   4174    1.0
ep_neg_r[34]   -0.29  8.4e-3    0.5  -1.35   -0.6  -0.26   0.04    0.6   3550    1.0
ep_neg_r[35]    1.21  8.4e-3   0.47   0.36    0.9   1.19   1.49   2.18   3201    1.0
ep_neg_r[36]   -0.06    0.01    0.6  -1.35  -0.42  -0.04   0.33   1.06   3203    1.0
ep_neg_r[37]    1.23  7.8e-3    0.4   0.54   0.95    1.2   1.48   2.11   2674    1.0
w_r[0]         -0.31    0.02   0.91   -2.1  -0.92  -0.32   0.27    1.5   3076    1.0
w_r[1]         -0.12    0.01   0.92  -1.89  -0.71  -0.11   0.49   1.65   4229    1.0
w_r[2]        9.1e-3    0.01   0.91  -1.79  -0.58   0.02   0.62    1.8   6000    1.0
w_r[3]          0.39    0.02   0.98  -1.56  -0.28   0.42   1.06   2.25   3500    1.0
w_r[4]         -0.11    0.01    0.9  -1.93  -0.72  -0.11   0.48   1.71   3705    1.0
w_r[5]         -0.19    0.01   0.93  -1.94  -0.82  -0.18   0.42   1.67   6000    1.0
w_r[6]          0.27    0.01   0.95  -1.63  -0.38    0.3   0.91   2.09   4019    1.0
w_r[7]          0.29    0.01   0.95  -1.64  -0.33    0.3   0.94   2.13   6000    1.0
w_r[8]          -0.4    0.02   0.88  -2.13  -0.98   -0.4   0.15    1.4   2914    1.0
w_r[9]           0.2    0.01   0.92  -1.63   -0.4   0.23   0.82   2.02   6000    1.0
w_r[10]         0.12    0.01   0.94  -1.75  -0.52   0.13   0.75   1.94   6000    1.0
w_r[11]         0.38    0.01   0.94  -1.56  -0.22    0.4   1.02   2.19   6000    1.0
