Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
theta_ls_r[7]    0.77    0.02   0.56  -0.26   0.37   0.73   1.11   1.94    826    1.0
theta_ls_r[8]   -0.05    0.02   1.11  -2.24  -0.87   0.02   0.75   1.96   2875    1.0
theta_ls_r[9]   -0.13    0.02   0.99  -1.97   -0.8  -0.19   0.48   1.99   3173    1.0
theta_ls_r[10]  -0.02    0.01   0.76  -1.41  -0.53  -0.04   0.46   1.58   3455    1.0
theta_ls_r[11]  -0.15    0.02   0.48  -1.09  -0.46  -0.15   0.17    0.8    971    1.0
theta_ls_r[12]    1.0    0.02   0.64  -0.21   0.58   0.98   1.41    2.3   1673    1.0
theta_ls_r[13]   -0.3    0.01   0.74  -1.73  -0.79  -0.34   0.16   1.29   3051    1.0
theta_ls_r[14]  -0.72    0.01   0.99  -2.41  -1.42  -0.83  -0.08   1.48   4785    1.0
theta_ls_r[15]  -0.08    0.01   0.72  -1.47  -0.54  -0.11   0.34   1.46   2993    1.0
theta_ls_r[16]  -0.61    0.01   0.89  -2.13  -1.22   -0.7  -0.09   1.35   4221    1.0
theta_ls_r[17]   0.73    0.01    0.7  -0.73    0.3   0.73   1.18   2.06   2896    1.0
theta_ls_r[18]  -0.15    0.02   0.47  -1.09  -0.46  -0.15   0.16   0.79    767    1.0
theta_ls_r[19]  -0.64    0.01   0.85  -2.14  -1.23  -0.73  -0.12   1.21   4204    1.0
theta_ls_r[20]   1.07    0.01    0.8  -0.65   0.58    1.1    1.6   2.57   3055    1.0
theta_ls_r[21]  -0.24    0.01   0.86  -1.81  -0.77  -0.31   0.21   1.76   3276    1.0
theta_ls_r[22]  -0.56    0.01    0.8  -1.94  -1.11  -0.64  -0.07   1.21   3800    1.0
theta_ls_r[23]  -0.03    0.02   0.47  -0.92  -0.35  -0.04   0.27   0.94    888    1.0
theta_ls_r[24]  -0.19    0.01   0.96  -1.91  -0.85  -0.26   0.47    1.8   4263    1.0
theta_ls_r[25]  -0.03    0.02   1.08  -2.11  -0.77  -0.06   0.71   2.12   2825    1.0
theta_ls_r[26]  -0.69    0.01    0.9  -2.24   -1.3  -0.79  -0.14   1.29   6000    1.0
theta_ls_r[27]  -0.51    0.01   1.04   -2.3  -1.25  -0.62   0.18   1.72   6000    1.0
theta_ls_r[28]    0.4    0.01   0.66  -0.88  -0.03   0.39   0.83   1.71   2900    1.0
theta_ls_r[29]   0.58    0.01   0.57  -0.51   0.21   0.55   0.93   1.78   1715    1.0
theta_ls_r[30]   0.01    0.01   0.85  -1.54  -0.56  -0.02   0.57   1.75   6000    1.0
theta_ls_r[31]  -0.02    0.01   0.71  -1.32  -0.49  -0.05   0.41   1.49   3993    1.0
theta_ls_r[32]  -0.26    0.01   0.57  -1.42  -0.62  -0.27   0.08    0.9   1993    1.0
theta_ls_r[33]  -0.13    0.01   1.01  -2.02  -0.84  -0.17   0.56   1.87   4895    1.0
theta_ls_r[34]  -0.49    0.01   0.87  -2.02  -1.07   -0.6   0.02   1.47   4521    1.0
theta_ls_r[35]  -0.14    0.02   1.09  -2.14  -0.91   -0.2   0.58   2.11   2845    1.0
theta_ls_r[36]  -0.09    0.03   1.16  -2.12  -0.92  -0.19   0.68   2.41   1637    1.0
theta_ls_r[37]   0.64    0.04   1.18  -1.75  -0.27   0.88   1.55   2.53   1054    1.0
ws_fin_r[0]     -0.51    0.01   0.58  -1.68  -0.81  -0.52  -0.24   0.83   2042    1.0
ws_fin_r[1]     -0.63    0.01   0.67  -1.91  -0.99  -0.66  -0.33   0.97   2366    1.0
ws_fin_r[2]       0.5    0.01    0.7  -1.29   0.18   0.59   0.95    1.6   2648    1.0
ws_fin_r[3]      0.31  9.8e-3   0.62  -1.14-3.8e-3   0.34   0.66   1.51   3959    1.0
ws_fin_r[4]      0.21    0.01   0.67  -0.84  -0.22    0.1   0.54   1.78   2847    1.0
ws_fin_r[5]      1.24    0.01   0.54   0.28   0.93   1.21   1.55    2.4   1929    1.0
ws_fin_r[6]      0.86    0.01   0.63  -0.57   0.53   0.86    1.2   2.15   3467    1.0
ws_fin_r[7]      1.06  8.5e-3   0.49   0.28   0.73   1.01   1.33   2.22   3240    1.0
ws_fin_r[8]      1.14    0.02    0.8  -1.07   0.82   1.22    1.6   2.51   2711    1.0
ws_fin_r[9]     -0.38  9.6e-3   0.62  -1.77  -0.69  -0.33  -0.02   0.79   4146    1.0
ws_fin_r[10]    -0.11  9.6e-3   0.57  -1.51  -0.39  -0.03   0.27   0.77   3521    1.0
ws_fin_r[11]    -1.17  9.6e-3   0.61  -2.53  -1.54  -1.12  -0.73  -0.18   4065    1.0
ws_fin_r[12]    -0.67  9.4e-3   0.42   -1.6   -0.9  -0.64  -0.39   0.08   1976    1.0
ws_fin_r[13]     0.09    0.02   0.73  -1.06  -0.42  -0.01    0.5   1.83   2363    1.0
ws_fin_r[14]     0.73    0.02   0.81  -1.22   0.29   0.87   1.28    2.0   2769    1.0
ws_fin_r[15]    -0.65    0.01    0.6  -2.04  -0.98  -0.56  -0.24   0.31   3420    1.0
ws_fin_r[16]     0.35    0.01   0.73  -1.39  -0.05   0.48   0.86   1.49   3321    1.0
ws_fin_r[17]     1.27  8.4e-3    0.5   0.45   0.93   1.22   1.56   2.42   3469    1.0
ws_fin_r[18]    -1.49  9.7e-3   0.59  -2.76  -1.87  -1.45  -1.07  -0.44   3734    1.0
ws_fin_r[19]     0.31    0.01   0.75  -1.51  -0.09   0.44   0.82   1.46   3352    1.0
ws_fin_r[20]    -1.18    0.01   0.49  -2.25  -1.48  -1.15  -0.86  -0.31   2149    1.0
ws_fin_r[21]    -0.46    0.01   0.63  -1.88   -0.8  -0.37  -0.05   0.52   3462    1.0
ws_fin_r[22]     0.13    0.01   0.73   -1.6  -0.26   0.26   0.64   1.25   2814    1.0
ws_fin_r[23]    -1.31  7.6e-3   0.59  -2.61  -1.67  -1.26   -0.9  -0.32   6000    1.0
ws_fin_r[24]     0.27    0.01   0.71  -1.53  -0.05    0.4   0.72   1.35   2827    1.0
ws_fin_r[25]     0.76    0.01   0.66  -0.72   0.44   0.77   1.11   2.07   3360    1.0
ws_fin_r[26]     0.45    0.02    0.8  -1.52   0.05   0.59   0.98   1.69   2795    1.0
ws_fin_r[27]     0.62    0.01   0.77  -1.28   0.25   0.74   1.12   1.84   2906    1.0
ws_fin_r[28]    -0.61    0.01    0.5  -1.83  -0.86  -0.54  -0.27   0.16   2322    1.0
ws_fin_r[29]     -1.1  9.5e-3   0.52   -2.3  -1.41  -1.06  -0.75  -0.21   2998    1.0
ws_fin_r[30]    -0.02    0.01   0.61  -1.55  -0.29   0.08   0.37   0.93   3447    1.0
ws_fin_r[31]    -0.26  9.7e-3   0.58  -1.65  -0.55  -0.17   0.14   0.65   3624    1.0
ws_fin_r[32]    -0.89  9.6e-3   0.63  -2.36  -1.24  -0.83  -0.46   0.12   4287    1.0
ws_fin_r[33]     0.58    0.01   0.66   -1.1   0.29   0.66   0.99   1.68   2911    1.0
ws_fin_r[34]     0.08    0.01   0.79  -1.85  -0.32   0.23   0.61   1.28   3047    1.0
ws_fin_r[35]     0.31    0.01   0.63  -1.22   0.02   0.32   0.63   1.56   3287    1.0
ws_fin_r[36]    -0.06    0.01   0.63  -1.49  -0.36  -0.06   0.25   1.32   3095    1.0
ws_fin_r[37]      0.2    0.02   0.67   -0.7  -0.22   0.03   0.41   2.01    929    1.0
ls_fin_r[0]      0.01    0.01    1.0   -1.9  -0.69   0.02   0.69   1.98   6000    1.0
ls_fin_r[1]   -5.2e-3    0.01    1.0  -2.01  -0.68-3.8e-3   0.69   1.94   6000    1.0
ls_fin_r[2]      0.02    0.01   0.99  -1.93  -0.62   0.01   0.67    2.0   6000    1.0
ls_fin_r[3]     -0.03    0.01   1.01   -2.0   -0.7  -0.02   0.66    2.0   6000    1.0
ls_fin_r[4]   -6.8e-3    0.01   0.98  -1.98  -0.65 2.1e-3   0.64   1.97   6000    1.0
ls_fin_r[5]     -0.01    0.01   1.03  -1.98  -0.71  -0.03   0.68    2.0   6000    1.0
ls_fin_r[6]   -4.3e-3    0.01   0.99  -1.96  -0.69-4.4e-3   0.66   1.98   6000    1.0
ls_fin_r[7]    9.2e-3    0.01   1.03  -1.97  -0.71   0.02   0.71   2.04   6000    1.0
ls_fin_r[8]    5.4e-4    0.01   0.97  -1.88  -0.65 4.6e-3   0.66   1.88   6000    1.0
ls_fin_r[9]   -8.2e-3    0.01   0.98  -1.97  -0.66  -0.01   0.66   1.95   6000    1.0
ls_fin_r[10]  -5.3e-3    0.01   1.02  -2.02  -0.67  -0.01   0.67   1.97   6000    1.0
ls_fin_r[11]     0.02    0.01   1.01  -1.96  -0.67   0.02    0.7   1.99   6000    1.0
ls_fin_r[12]    -0.01    0.01   1.01   -2.0  -0.69  -0.02   0.67   1.96   6000    1.0
ls_fin_r[13]  -3.0e-3    0.01    1.0  -1.92  -0.71  -0.01   0.68   1.96   6000    1.0
ls_fin_r[14]     0.01    0.01   0.99  -1.94  -0.66   0.01   0.69   1.99   6000    1.0
ls_fin_r[15]   9.0e-3    0.01   1.02  -1.94  -0.67-4.4e-3   0.69   2.01   6000    1.0
ls_fin_r[16]    -0.02    0.01   0.98   -1.9  -0.68  -0.03   0.63   1.97   6000    1.0
ls_fin_r[17]   8.4e-3    0.01   0.99   -1.9  -0.65  -0.01   0.67   1.97   6000    1.0
ls_fin_r[18]   1.4e-3    0.01   0.99  -1.95  -0.68   0.01   0.68   1.92   6000    1.0
ls_fin_r[19]    -0.01    0.01   0.99  -1.95  -0.67  -0.01   0.66   1.86   6000    1.0
ls_fin_r[20]  -1.7e-3    0.01    1.0  -1.94  -0.69 5.3e-3    0.7   1.91   6000    1.0
ls_fin_r[21]     0.01    0.01    1.0  -1.96  -0.64   0.02   0.68   1.92   6000    1.0
ls_fin_r[22]     0.01    0.01   1.01  -1.93  -0.67 7.2e-3   0.68   2.01   6000    1.0
ls_fin_r[23]   4.1e-3    0.01   1.04  -2.02   -0.7   0.02   0.72   2.02   6000    1.0
ls_fin_r[24]   8.9e-3    0.01   0.99  -1.94  -0.66-8.4e-3   0.68   2.05   6000    1.0
ls_fin_r[25]     0.02    0.01   1.03  -2.01  -0.67   0.03   0.71   1.98   6000    1.0
ls_fin_r[26]    -0.01    0.01    1.0  -2.03  -0.69-8.9e-3   0.66   1.94   6000    1.0
ls_fin_r[27]  -3.6e-3    0.01   0.99   -1.9  -0.68-3.2e-3   0.67   1.93   6000    1.0
ls_fin_r[28]  -5.8e-3    0.01    1.0  -1.95  -0.69-3.9e-3   0.68   1.92   6000    1.0
ls_fin_r[29]   7.3e-3    0.01    1.0  -1.99  -0.65   0.02   0.67   2.01   6000    1.0
ls_fin_r[30]  -9.2e-4    0.01   0.98  -1.93  -0.66   0.02   0.66   1.92   6000    1.0
ls_fin_r[31]  -5.4e-3    0.01   1.01  -1.97  -0.69   0.01   0.65   2.04   6000    1.0
ls_fin_r[32]  -5.8e-3    0.01   1.02  -1.92  -0.72  -0.04   0.69   2.04   6000    1.0
ls_fin_r[33]  -9.7e-3    0.01   0.99  -1.98  -0.67  -0.02   0.65   1.98   6000    1.0
ls_fin_r[34]     0.01    0.01   1.01  -1.96  -0.67   0.01   0.71   1.95   6000    1.0
ls_fin_r[35]   6.5e-3    0.01   1.01   -2.0  -0.67-2.7e-3   0.69   1.96   6000    1.0
ls_fin_r[36]   8.7e-3    0.01   1.03  -1.97  -0.69 4.5e-3    0.7   2.02   6000    1.0
ls_fin_r[37]   9.8e-3    0.01   0.99  -1.95  -0.66 7.1e-3   0.67   1.95   6000    1.0
ws_init[0]       0.42  7.5e-3   0.322.2e-44   0.17   0.36   0.61    1.0   1871    1.0
ws_init[1]       0.57  8.9e-3   0.32 6.4e-5   0.32   0.54   0.89    1.0   1299    1.0
ws_init[2]       0.31  5.7e-3   0.29    0.0   0.07   0.24   0.43    1.0   2625    1.0
ws_init[3]       0.42  6.0e-3   0.316.4e-91   0.17   0.39   0.61    1.0   2744    1.0
ws_init[4]       0.36  6.1e-3   0.315.3e-184   0.11   0.29    0.5    1.0   2523    1.0
ws_init[5]        0.4  5.4e-3   0.327.0e-99   0.15   0.33   0.58    1.0   3525    1.0
